Date,Open,High,Low,Close,Adj Close,Volume
2018-04-26,104.575691,106.863289,104.321518,106.082603,104.022911,2896559
2018-04-27,106.391243,106.572800,105.265602,105.991821,103.933884,1532995
2018-04-30,106.391243,106.391243,104.248894,105.320068,103.275185,1029759
2018-05-02,104.938805,105.429001,102.760147,103.468208,101.459274,3198322
2018-05-03,103.486366,104.484917,101.071686,102.596748,100.604729,1294075
2018-05-04,101.707123,105.156670,101.089836,103.341118,101.334648,1170675
2018-05-07,103.885788,104.357826,101.434792,102.378876,100.391090,1347131
2018-05-08,102.469658,103.032478,101.398483,102.070236,100.088448,1529963
2018-05-09,101.870522,102.215477,100.980904,101.198769,99.233902,4624889
2018-05-10,100.944595,103.286652,100.672264,101.707123,99.732391,874737
2018-05-11,101.398483,103.032478,100.327309,102.197327,100.213066,816485
2018-05-14,102.397034,102.415192,99.183510,100.436241,98.486176,347043
2018-05-15,100.436241,100.944595,98.076027,99.946037,98.005486,540607
2018-05-16,99.129044,99.855263,98.076027,99.800797,97.863068,325925
2018-05-17,100.399925,101.924988,98.911179,99.546623,97.613831,904433
2018-05-18,100.036819,101.598190,98.802246,100.527016,98.575180,2035239
2018-05-21,100.527016,104.557541,99.183510,99.691864,97.756248,1215857
2018-05-22,99.855263,100.363617,98.947487,99.691864,97.756248,325796
2018-05-23,99.710022,100.127594,98.765938,99.455841,97.524811,329420
2018-05-24,99.492157,99.728172,98.257584,99.346909,97.417992,515692
2018-05-25,99.383224,101.162460,98.656998,100.581482,98.628601,766987
2018-05-28,102.397034,103.086945,100.944595,101.398483,99.429726,1203285
2018-05-29,102.033920,102.233635,100.054977,100.980904,99.020264,650417
2018-05-30,100.563332,100.690414,99.129044,99.619240,97.685043,597022
2018-05-31,99.818954,101.634506,97.694756,101.216927,99.251709,954897
2018-06-01,101.362167,101.362167,97.894470,98.620689,96.705879,555809
2018-06-04,98.656998,98.911179,94.826187,95.389008,93.536942,407171
2018-06-05,95.497940,95.824745,92.974327,93.863945,92.041489,543887
2018-06-06,93.410057,96.950386,92.320732,95.806587,93.946411,1026071
2018-06-07,95.806587,99.510307,95.044060,99.201668,97.275574,853132
2018-06-08,98.947487,98.947487,97.495049,97.967094,96.064972,364176
2018-06-11,98.039711,98.765938,97.349808,97.948936,96.047165,627716
2018-06-12,97.694756,101.307701,97.495049,100.127594,98.183525,1940480
2018-06-13,100.926437,103.195877,99.710022,102.760147,100.764961,11328460
2018-06-14,103.268501,104.503075,102.869080,104.103653,102.082382,2519261
2018-06-15,104.176270,104.484917,100.999062,101.634506,99.661179,3301147
